#EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 19-06-2015
#THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

#Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
#air temperature and precipitation series for the European Climate Assessment.
#Int. J. of Climatol., 22, 1441-1453.
#Data and metadata available at http://www.ecad.eu

#FILE FORMAT (MISSING VALUE CODE IS -9999):

#01-06 STAID: Station identifier
#08-13 SOUID: Source identifier
#15-22 DATE : Date YYYYMMDD
#24-28 SS   : sunshine in 0.1 Hours
#30-34 Q_SS : Quality code for SS (0='valid'; 1='suspect'; 9='missing')

#This is the series (SOUID: 107654) of IRELAND, WATERFORD (TYCOR) (STAID: 1760)
#See file sources.txt for more info.



 STAID, SOUID,    DATE,   SS, Q_SS
  1760,107654,19630508,-9999,    9
  1760,107654,19630509,-9999,    9
  1760,107654,19630510,-9999,    9
  1760,107654,19630511,-9999,    9
  1760,107654,19630512,-9999,    9
  1760,107654,19630513,-9999,    9
  1760,107654,19630514,-9999,    9
  1760,107654,19630515,-9999,    9
  1760,107654,19630516,-9999,    9
  1760,107654,19630517,-9999,    9
  1760,107654,19630518,-9999,    9
  1760,107654,19630519,-9999,    9
  1760,107654,19630520,-9999,    9
  1760,107654,19630521,-9999,    9
  1760,107654,19630522,-9999,    9
  1760,107654,19630523,-9999,    9
  1760,107654,19630524,-9999,    9
  1760,107654,19630525,-9999,    9
  1760,107654,19630526,-9999,    9
  1760,107654,19630527,-9999,    9
  1760,107654,19630528,-9999,    9
  1760,107654,19630529,-9999,    9
  1760,107654,19630530,-9999,    9
  1760,107654,19630531,-9999,    9
  1760,107654,19630601,-9999,    9
  1760,107654,19630602,-9999,    9
  1760,107654,19630603,-9999,    9
  1760,107654,19630604,-9999,    9
  1760,107654,19630605,-9999,    9
  1760,107654,19630606,-9999,    9
  1760,107654,19630607,-9999,    9
  1760,107654,19630608,-9999,    9
  1760,107654,19630609,-9999,    9
  1760,107654,19630610,-9999,    9
  1760,107654,19630611,-9999,    9
  1760,107654,19630612,-9999,    9
  1760,107654,19630613,-9999,    9
  1760,107654,19630614,-9999,    9
  1760,107654,19630615,-9999,    9
  1760,107654,19630616,-9999,    9
  1760,107654,19630617,-9999,    9
  1760,107654,19630618,-9999,    9
  1760,107654,19630619,-9999,    9
  1760,107654,19630620,-9999,    9
  1760,107654,19630621,-9999,    9
  1760,107654,19630622,-9999,    9
  1760,107654,19630623,-9999,    9
  1760,107654,19630624,-9999,    9
  1760,107654,19630625,-9999,    9
  1760,107654,19630626,-9999,    9
  1760,107654,19630627,-9999,    9
  1760,107654,19630628,-9999,    9
  1760,107654,19630629,-9999,    9
  1760,107654,19630630,-9999,    9
  1760,107654,19630701,-9999,    9
  1760,107654,19630702,-9999,    9
  1760,107654,19630703,-9999,    9
  1760,107654,19630704,-9999,    9
  1760,107654,19630705,-9999,    9
  1760,107654,19630706,-9999,    9
  1760,107654,19630707,-9999,    9
  1760,107654,19630708,-9999,    9
  1760,107654,19630709,-9999,    9
  1760,107654,19630710,-9999,    9
  1760,107654,19630711,-9999,    9
  1760,107654,19630712,-9999,    9
  1760,107654,19630713,-9999,    9
  1760,107654,19630714,-9999,    9
  1760,107654,19630715,-9999,    9
  1760,107654,19630716,-9999,    9
  1760,107654,19630717,-9999,    9
  1760,107654,19630718,-9999,    9
  1760,107654,19630719,-9999,    9
  1760,107654,19630720,-9999,    9
  1760,107654,19630721,-9999,    9
  1760,107654,19630722,-9999,    9
  1760,107654,19630723,-9999,    9
  1760,107654,19630724,-9999,    9
  1760,107654,19630725,-9999,    9
  1760,107654,19630726,-9999,    9
  1760,107654,19630727,-9999,    9
  1760,107654,19630728,-9999,    9
  1760,107654,19630729,-9999,    9
  1760,107654,19630730,-9999,    9
  1760,107654,19630731,-9999,    9
  1760,107654,19630801,-9999,    9
  1760,107654,19630802,-9999,    9
  1760,107654,19630803,-9999,    9
